#{"t_start": 1781182823.9303486, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
406.337854,1000,3.514845
403.404178,1000,3.792921
410.087299,1000,4.066248
410.951223,1000,4.340697
393.756629,1000,4.626653
390.806979,1000,4.920404
417.811268,1000,5.202198
390.614165,1000,5.481127
394.786181,1000,5.76073
427.883858,1000,6.032611
383.323291,1000,10.896683
429.031176,1000,15.71402
450.487869,1000,20.572937
494.835363,1000,25.332765
523.662276,1000,29.757328
558.619061,1000,33.837491
583.14998,1000,38.040357
615.411808,1000,42.122264
618.945388,1000,46.212759
622.097432,1000,50.302295
615.566134,1000,54.386314
628.552395,1000,58.477258
639.786052,1000,62.948131
660.585121,1000,67.319076
681.778068,1000,72.456587
687.89604,1000,77.163062
700.867683,1000,81.32371
702.950232,1000,85.496736
709.83466,1000,89.957304
714.05864,1000,94.165795
715.011808,1000,98.332479
715.954452,1000,102.67892
721.63366,1000,106.844526
723.306694,1000,111.065761
726.91655,1000,115.284183
731.92076,1000,119.631466
732.056658,1000,124.0225
732.178762,1000,128.262597
734.879466,1000,132.638626
735.932962,1000,137.206418
735.680174,1000,142.018112
738.201915,1000,147.031147
739.738893,1000,151.308278
739.726369,1000,155.614601
739.925837,1000,160.069463
740.257611,1000,164.721359
740.58208,1000,168.858722
742.074995,1000,173.050894
742.976331,1000,177.895397
743.709831,1000,182.767757
744.391569,1000,187.555374
744.129205,1000,192.363211
745.83103,1000,196.570367
746.78431,1000,200.710459
745.046773,1000,205.032701
745.938542,1000,209.157404
745.716651,1000,213.268197
746.217249,1000,217.687042
748.414883,1000,222.547664
746.548334,1000,227.287788
748.533567,1000,231.513987
747.704694,1000,235.618505
746.585284,1000,239.82547
750.015982,1000,244.248119
748.002419,1000,248.663331
747.121464,1000,252.908788
749.510151,1000,257.029309
750.937004,1000,261.722823
749.316766,1000,266.634674
749.596832,1000,271.473261
750.03659,1000,276.316946
750.316207,1000,281.191031
750.028798,1000,285.984819
750.209319,1000,290.479307
750.086961,1000,294.625962
750.998635,1000,298.80748
750.569263,1000,303.11587
753.242341,1000,307.792055
751.891871,1000,312.725195
752.275046,1000,317.715992
752.316775,1000,322.531652
750.384628,1000,327.319177
752.88663,1000,332.102528
751.157753,1000,336.899024
751.499961,1000,341.452171
752.390889,1000,345.585653
751.086414,1000,349.698345
752.022181,1000,353.849611
752.228956,1000,358.14275
751.739373,1000,362.246263
753.198853,1000,366.351049
752.894026,1000,370.453757
752.120493,1000,374.688928
752.990368,1000,378.807395
752.237679,1000,383.010421
752.788205,1000,387.583928
752.365671,1000,392.194105
752.377983,1000,396.382819
753.082595,1000,400.737509
753.163291,1000,404.938146
753.385704,1000,409.051625
752.688385,1000,413.755335
752.943243,1000,418.298276
752.810973,1000,422.486171
753.320692,1000,426.648256
753.705602,1000,430.887054
754.448556,1000,435.700974
755.121537,1000,440.568417
754.094711,1000,445.56999
755.05176,1000,451.152038
754.931157,1000,456.595127
754.32577,1000,461.433783
753.973671,1000,466.707795
755.340608,1000,471.843246
755.040501,1000,476.606453
755.923049,1000,481.352515
754.217803,1000,485.602939
755.911717,1000,489.763515
755.708286,1000,494.462678
755.073223,1000,499.543485
756.862029,1000,504.144061
755.656288,1000,509.174402
756.331986,1000,514.575838
754.863658,1000,519.97403
756.284429,1000,524.799184
755.462541,1000,529.160583
755.6825,1000,533.391099
755.900944,1000,537.846402
756.698279,1000,542.902528
756.619707,1000,547.270344
756.190529,1000,551.585279
756.507736,1000,556.524254
756.670782,1000,561.742542
757.024988,1000,566.279802
757.147715,1000,570.722795
757.031169,1000,575.131142
757.119432,1000,580.29743
757.52985,1000,585.438517
756.805312,1000,590.450445
756.975963,1000,595.870834
757.800517,1000,600.602663
757.335066,1000,605.919596
756.908726,1000,610.188875
757.840763,1000,615.563891
757.101644,1000,620.142453
757.961067,1000,624.809314
756.722663,1000,629.678639
757.15074,1000,634.481708
758.919494,1000,639.363607
757.537638,1000,644.276336
757.53337,1000,649.153848
757.874421,1000,654.024927
758.278066,1000,659.07842
758.912003,1000,664.052821
759.205415,1000,668.913512
758.915761,1000,673.782877
757.788026,1000,678.282302
758.385561,1000,683.182843
759.822984,1000,688.139843
759.083924,1000,693.625259
759.212702,1000,699.234594
759.221418,1000,704.364918
758.619874,1000,708.607239
759.605574,1000,713.656728
758.883731,1000,718.694958
759.277403,1000,723.911086
759.697317,1000,729.060988
758.926215,1000,734.32543
758.923366,1000,739.493911
759.012923,1000,744.37444
758.467033,1000,748.819001
758.352513,1000,753.033937
758.942575,1000,757.325985
758.745695,1000,761.657141
759.418163,1000,765.943863
759.327036,1000,770.373948
759.095888,1000,774.686345
760.005521,1000,778.951954
759.495394,1000,783.156673
759.17853,1000,787.304967
758.815157,1000,791.477209
759.123646,1000,795.61924
758.970558,1000,799.779343
759.454791,1000,803.909005
760.325008,1000,808.050181
758.906327,1000,812.214101
760.023988,1000,816.33587
760.278784,1000,820.468989
759.491345,1000,824.644303
761.635681,1000,828.909811
760.100845,1000,833.449911
759.570585,1000,837.786721
760.14866,1000,842.074331
759.531363,1000,846.297427
760.102209,1000,850.943771
759.978669,1000,855.150075
759.401039,1000,860.304302
759.223551,1000,865.559582
760.019546,1000,870.758738
760.73947,1000,875.849737
