percent_cycle,hip_angle_mean
0.0,32.0
1.0,32.73426051139828
2.0,33.317081032432604
3.0,33.75384298686317
4.0,34.049927798450135
5.0,34.21071689095373
6.0,34.24159168813412
7.0,34.1479336137515
8.0,33.93512409156607
9.0,33.60854454533801
10.0,33.17357639882752
11.0,32.63560107579479
12.0,32.0
13.0,31.272154595203354
14.0,30.457446285165023
15.0,29.561256493645224
16.0,28.588966644404124
17.0,27.545958161201924
18.0,26.437612467798818
19.0,25.269310987954995
20.0,24.046435145430642
21.0,22.774366363985948
22.0,21.458486067381116
23.0,20.10417567937632
24.0,18.716816623731763
25.0,17.301790324207627
26.0,15.864478204564108
27.0,14.410261688561393
28.0,12.944522199959678
29.0,11.47264116251915
30.0,10.0
31.0,8.532145768278195
32.0,7.075288051692801
33.0,5.635802066698652
34.0,4.220063029750595
35.0,2.834446157303471
36.0,1.4853266658121191
37.0,0.17907977173137773
38.0,-1.077919308483909
39.0,-2.279295358378902
40.0,-3.4186731614987598
41.0,-4.489677501388642
42.0,-5.485933161593708
43.0,-6.401064925659119
44.0,-7.228697577130031
45.0,-7.962455899551609
46.0,-8.595964676469006
47.0,-9.122848691427384
48.0,-9.536732727971902
49.0,-9.831241569647721
50.0,-9.999999999999998
51.0,-10.036692993377466
52.0,-9.935246287343137
53.0,-9.689645810263597
54.0,-9.293877490505436
55.0,-8.741927256435238
56.0,-8.027781036419587
57.0,-7.145424758825067
58.0,-6.0888443520182705
59.0,-4.852025744365779
60.0,-3.4289548642341776
61.0,-1.8136176399900572
62.0,0.0
63.0,2.010582055268524
64.0,4.187492236944498
65.0,6.49276418405602
66.0,8.888431535631197
67.0,11.33652793069812
68.0,13.799087008284891
69.0,16.238142407419613
70.0,18.615727767130384
71.0,20.89387672644531
72.0,23.034622924392487
73.0,25.0
74.0,26.760117263189347
75.0,28.317386707455498
76.0,29.682295997186795
77.0,30.865332796771607
78.0,31.876984770598263
79.0,32.72773958305515
80.0,33.428084898530585
81.0,33.988508381412935
82.0,34.41949769609055
83.0,34.7315405069518
84.0,34.935124478385006
85.0,35.04073727477854
86.0,35.058866560520755
87.0,35.00000000000001
88.0,34.87462525760462
89.0,34.69322999772297
90.0,34.466301884743416
91.0,34.20432858305429
92.0,33.91779775704396
93.0,33.617197071100776
94.0,33.31301418961307
95.0,33.01573677696922
96.0,32.73585249755757
97.0,32.483849015766474
98.0,32.270213995984264
99.0,32.10543510259933
100.0,32.0
