#{"t_start": 1781978618.862612, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
543.597583,1000,3.528721
546.388458,1000,3.810963
549.760701,1000,4.088736
552.504049,1000,4.369952
536.347952,1000,4.650423
529.709598,1000,4.933186
563.852535,1000,5.219189
528.639179,1000,5.498323
542.941536,1000,5.775742
558.209705,1000,6.052631
543.745807,1000,6.329481
561.587947,1000,6.604296
529.305543,1000,6.879398
563.119689,1000,7.158036
549.903919,1000,7.438429
559.216976,1000,7.728055
532.705532,1000,8.02945
553.042666,1000,8.303482
548.140817,1000,8.588919
558.928236,1000,8.866894
555.624908,1000,9.146992
518.451899,1000,9.43094
550.954795,1000,9.714353
524.43236,1000,9.999315
542.72468,1000,10.274223
521.195239,1000,15.471741
630.115102,1000,19.909645
658.791017,1000,24.316443
694.115937,1000,28.62051
732.034841,1000,33.0456
747.777898,1000,37.374557
783.93211,1000,41.884828
815.82081,1000,47.035607
844.821266,1000,51.677169
864.129602,1000,56.073102
885.705219,1000,60.399883
889.215975,1000,64.727405
892.381649,1000,69.237285
908.595589,1000,73.792059
914.920812,1000,78.101139
912.788901,1000,82.497675
914.847202,1000,86.834938
919.438163,1000,91.762987
917.431526,1000,97.010545
921.531891,1000,102.311773
922.479499,1000,107.15813
921.335493,1000,111.759496
917.755135,1000,116.220649
914.396333,1000,120.688447
917.506133,1000,125.147273
918.651592,1000,129.631775
919.838641,1000,134.151554
923.835557,1000,138.628824
923.994246,1000,143.111392
926.409353,1000,147.607211
926.137465,1000,152.116574
924.803819,1000,156.794903
927.533029,1000,162.015286
929.110535,1000,167.267975
930.204074,1000,172.546656
929.140242,1000,177.85968
931.999274,1000,183.156111
932.534582,1000,188.555916
930.412569,1000,193.742453
931.058574,1000,198.302807
932.460333,1000,202.854634
932.447963,1000,207.341332
933.424139,1000,211.865672
933.405939,1000,216.392739
935.521082,1000,220.983156
933.87265,1000,225.540753
932.912884,1000,230.129861
934.438912,1000,234.894019
934.527789,1000,240.050409
934.730116,1000,245.317881
935.375224,1000,250.454792
936.219464,1000,255.109195
937.207226,1000,259.744783
934.763983,1000,264.354012
935.535056,1000,268.967895
937.353029,1000,273.556809
937.011425,1000,278.15143
938.264766,1000,282.970165
936.302433,1000,287.55198
935.30515,1000,292.147257
937.400032,1000,296.71585
936.285689,1000,301.344456
936.396566,1000,305.967686
936.080382,1000,310.578523
937.067943,1000,315.172354
936.403995,1000,319.81257
938.222033,1000,324.427853
938.680565,1000,329.968445
938.522161,1000,335.272175
937.74204,1000,340.119528
941.09943,1000,345.464604
939.989252,1000,350.466872
940.084658,1000,355.078403
940.243257,1000,359.699638
941.483843,1000,365.242914
940.256548,1000,370.133397
939.070573,1000,374.763611
940.417467,1000,379.403839
940.893081,1000,384.084438
941.145645,1000,389.490762
938.430027,1000,394.908735
940.809468,1000,400.043503
941.607373,1000,404.746382
943.419848,1000,409.437758
942.076525,1000,414.848635
943.119717,1000,420.343675
943.431266,1000,425.705817
943.319657,1000,431.138867
943.072947,1000,436.620958
943.93123,1000,442.092619
943.070272,1000,446.825339
942.776861,1000,451.46366
943.674134,1000,456.100083
944.141415,1000,460.752768
944.97852,1000,465.395427
944.144496,1000,470.182006
943.940001,1000,474.869788
944.508343,1000,479.525218
945.290058,1000,484.185541
943.937142,1000,488.885893
944.343395,1000,493.542134
944.40616,1000,498.477139
945.073315,1000,503.578065
945.8698,1000,508.226903
946.436341,1000,512.911839
944.832737,1000,517.595484
946.57201,1000,522.301487
945.126081,1000,526.92588
945.792979,1000,531.580563
945.664781,1000,536.231019
947.119854,1000,540.933047
946.414742,1000,545.629448
945.446004,1000,550.338844
945.455795,1000,555.225617
945.398553,1000,560.303811
947.335166,1000,565.523551
945.506929,1000,570.209632
947.122025,1000,574.996866
947.133384,1000,579.737041
946.065827,1000,584.463032
947.416732,1000,589.186181
947.347657,1000,593.890808
947.135196,1000,598.66483
947.10443,1000,604.239767
948.302436,1000,609.662623
947.275623,1000,615.169899
947.515911,1000,620.64096
947.571496,1000,626.135584
948.85713,1000,631.54318
948.638145,1000,637.018053
948.278994,1000,641.768096
949.053999,1000,646.463366
948.296571,1000,651.232311
948.8063,1000,655.91304
947.702165,1000,660.579559
948.3762,1000,665.676292
947.61261,1000,671.212242
948.961211,1000,676.691734
947.731199,1000,682.147488
948.459285,1000,687.621477
948.181095,1000,692.746142
949.626141,1000,697.367285
949.034882,1000,702.081732
949.691712,1000,706.731786
949.657687,1000,711.435444
948.648332,1000,716.098512
948.918263,1000,720.861801
949.402372,1000,725.52089
949.512657,1000,730.203379
949.475658,1000,734.915842
948.947828,1000,739.556862
949.899034,1000,744.206185
948.642861,1000,748.838392
949.671285,1000,754.116018
949.982252,1000,759.509961
948.841521,1000,765.057576
949.504977,1000,770.001086
948.713377,1000,774.860412
949.775406,1000,779.518996
950.48891,1000,784.330364
950.06198,1000,789.422623
948.875812,1000,794.082907
949.595466,1000,798.661739
949.666718,1000,803.342772
950.380367,1000,808.0278
949.702658,1000,812.896081
949.937606,1000,818.279647
949.98444,1000,823.089287
950.907575,1000,827.765457
950.28879,1000,832.538604
950.166518,1000,837.2578
950.397452,1000,842.064688
950.156578,1000,847.190488
949.741675,1000,851.891458
950.808742,1000,856.56408
