timestep,episode,hip_pos_l,hip_pos_r,exo_pos_l,exo_pos_r,hip_vel_l,hip_vel_r,exo_vel_l,exo_vel_r,act_iliopsoas_l,act_iliopsoas_r,act_glut_l,act_glut_r,muscle_length_iliopsoas_l,muscle_length_iliopsoas_r,muscle_length_glut_l,muscle_length_glut_r,muscle_force_iliopsoas_l,muscle_force_iliopsoas_r,muscle_force_glut_l,muscle_force_glut_r,motor_torque_l,motor_torque_r,pid_output_l,pid_output_r,hip_pos_target_l,hip_pos_target_r,hip_vel_target_l,hip_vel_target_r
499001,499,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.0677679777145386,1.0677679777145386,0.7233012914657593,0.7233012914657593,0.0,0.0,0.0,0.0,0.0,0.0,0.00023616055873571117,0.0,0.0,0.00011691116769094612,0.0,-1.0447034592521818
499002,499,-0.0011874953052029014,-0.0011874953052029014,-0.0011747950920835137,-0.0011747950920835137,0.3151469826698303,0.3151469826698303,0.3018183410167694,0.3018183410167694,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.01931273192167282,1.055488109588623,1.055488109588623,0.7168965935707092,0.7139521837234497,0.0,0.0,0.0,0.0,0.0,0.0,-0.020864511094805666,0.0,0.0,-0.010330123424831429,0.0,-1.0447034592521813
499003,499,-0.0005453620105981827,-0.0005453620105981827,-0.0005449262680485845,-0.0005449262680485845,-0.16685520112514496,-0.16685520112514496,-0.16444171965122223,-0.16444171965122223,0.009999999776482582,0.009999999776482582,0.03968620300292969,0.0754302442073822,1.0446408987045288,1.0446408987045288,0.7029078006744385,0.6935691833496094,0.0,0.0,0.0,0.0,-0.7560455799102783,-4.053308963775635,-0.08687188301075471,-0.04487330688396469,0.0,-0.020690253406756048,0.0,-0.9984746488223865
499004,499,-0.003068760735914111,-0.004052045289427042,-0.0028417406138032675,-0.002943238476291299,-0.23191267251968384,-0.41821232438087463,-0.19425790011882782,-0.23495708405971527,0.023846451193094254,0.009999999776482582,0.0358225516974926,0.06991101056337357,1.0302132368087769,1.0348179340362549,0.6864213347434998,0.6787205934524536,0.0,0.0,0.0,0.03505046293139458,-1.1410140991210938,-4.424181938171387,-0.03642790776485459,0.02615366133628413,0.0,-0.03067499989498059,0.0,-0.9984746488223865
499005,499,-0.005595785100013018,-0.009324613027274609,-0.004894732031971216,-0.006424087565392256,-0.2873987853527069,-0.6880911588668823,-0.24257737398147583,-0.5132742524147034,0.03840222209692001,0.009999999776482582,0.03249068558216095,0.0618835873901844,1.0110447406768799,1.0257110595703125,0.6803793907165527,0.6767408847808838,0.0,0.0,0.017649300396442413,0.029983019456267357,1.3741445541381836,-4.624242782592773,-0.012321037271369503,0.0410204547108151,0.0,-0.040614408538753366,0.0,-0.951121543448045
499006,499,-0.007627987302839756,-0.01746268942952156,-0.0071267420426011086,-0.013316408731043339,-0.1936105489730835,-0.9633143544197083,-0.2404976785182953,-0.9016666412353516,0.051845733076334,0.017702588811516762,0.029612859711050987,0.05478241294622421,0.994671642780304,1.0142210721969604,0.6794821619987488,0.6740635633468628,0.040485821664333344,0.0,0.015010582283139229,0.02526094578206539,-2.8097212314605713,-2.250441312789917,0.018951791248457223,0.05450933606596663,0.0,-0.050083881914268207,0.0,-0.9469473375514328
499007,499,-0.010669193230569363,-0.028041962534189224,-0.009748924523591995,-0.024231458082795143,-0.331385999917984,-1.1043564081192017,-0.25165268778800964,-1.195448637008667,0.05087859928607941,0.050492141395807266,0.027121365070343018,0.04875096306204796,0.9939252734184265,1.0028382539749146,0.6787211298942566,0.6708949208259583,0.05059140548110008,0.04554140195250511,0.0146016301587224,0.02132054790854454,-1.8263280391693115,-2.1120870113372803,0.056730663317640095,0.04465806476073339,0.0,-0.05955335528978305,0.0,-0.9217848711986326
499008,499,-0.013112952932715416,-0.03926919400691986,-0.012193616479635239,-0.03668379783630371,-0.16380827128887177,-1.1065822839736938,-0.23792508244514465,-1.2776819467544556,0.06800223886966705,0.07510000467300415,0.024957433342933655,0.04359712824225426,0.9926628470420837,1.0018198490142822,0.6783714294433594,0.6681849956512451,0.06283367425203323,0.07365341484546661,0.013553611002862453,0.02033751644194126,-4.130240440368652,1.512906551361084,0.08042104654769078,0.07162017812253907,0.0,-0.06846139646755374,0.0,-0.8901215254393259
499009,499,-0.014374864287674427,-0.048398181796073914,-0.014140225946903229,-0.049026232212781906,-0.09914720058441162,-0.7207106947898865,-0.15744473040103912,-1.179287075996399,0.06571576744318008,0.08282903581857681,0.023077521473169327,0.03918280452489853,0.992138147354126,1.0022313594818115,0.6789095997810364,0.6667229533195496,0.06163911521434784,0.08308696746826172,0.014210665598511696,0.019134746864438057,1.5697765350341797,-0.6728887557983398,0.08464509200823786,0.05163329729111865,0.0,-0.07736261172194747,0.0,-0.8901215254393259
499010,499,-0.01227948721498251,-0.05363226309418678,-0.013994386419653893,-0.057397350668907166,0.36601758003234863,-0.4633093476295471,0.11238707602024078,-0.5763288140296936,0.06280441582202911,0.07489697635173798,0.02144155092537403,0.035387925803661346,0.9916270971298218,1.0042164325714111,0.6797061562538147,0.6652084589004517,0.06000136211514473,0.08217073231935501,0.012674719095230103,0.01644526608288288,-0.3067159652709961,-1.7558741569519043,0.027576931798605153,0.044745456681121135,0.0,-0.0857121705396961,0.0,-0.8279972124860561
