#{"t_start": 1782413128.1205232, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
-300.67792,1000,1.594532
-291.887859,1000,1.899386
-325.423601,1000,2.193873
-327.475295,1000,2.494663
-286.13472,1000,2.803246
-304.127835,1000,3.11924
-256.8947,1000,3.413332
-282.756138,1000,3.707698
-253.676168,1000,4.004964
-237.589871,1000,4.305079
-277.63395,1000,4.600734
-248.184923,1000,4.897554
-284.567235,1000,5.190937
-281.203105,1000,5.484971
-287.211917,1000,5.781335
-299.581324,1000,6.076738
-300.478938,1000,6.37174
-303.240382,1000,6.666737
-278.694222,1000,6.958477
-263.711958,1000,7.252132
-313.71978,1000,7.545684
-289.769342,1000,7.838642
-287.320221,1000,8.137181
-302.850693,1000,8.432234
-312.732133,1000,8.7278
-299.640856,1000,9.02142
-266.171723,1000,9.314577
-274.560461,1000,9.609212
-309.090139,1000,9.903217
-310.186849,1000,10.196898
-269.695186,1000,10.492431
-302.288477,1000,10.788144
-284.328191,1000,11.083128
-290.409394,1000,11.378882
-242.838737,1000,11.673131
-291.618702,1000,11.967628
-290.345416,1000,12.262305
-288.545675,1000,12.556229
-307.273989,1000,12.850667
-269.67679,1000,13.14487
-291.787828,1000,13.437508
-296.774582,1000,13.729692
-282.048499,1000,14.022366
-314.514593,1000,14.314932
-285.253271,1000,14.606706
-267.986876,1000,14.901552
-297.655559,1000,15.196659
-290.053282,1000,15.493095
-293.752398,1000,15.790152
-336.637,1000,16.08489
-279.862288,1000,16.379096
-267.901653,1000,16.674675
-281.906789,1000,16.969936
-262.752595,1000,17.265754
-263.582015,1000,17.57211
-242.750144,1000,17.867871
-264.212881,1000,18.164413
-289.26078,1000,18.460891
-325.627066,1000,18.757492
-299.913104,1000,19.056383
-273.132291,1000,19.355327
-279.826634,1000,19.654115
-268.507985,1000,19.950681
-309.589063,1000,20.248192
-290.728947,1000,20.545698
-283.423233,1000,20.841234
-229.102881,1000,21.138087
-306.777017,1000,21.435527
-318.406344,1000,21.734862
-335.179995,1000,22.033993
-275.517187,1000,22.330877
-277.8282,1000,22.626559
-261.39201,1000,22.924016
-266.991694,1000,23.221913
-242.288953,1000,23.517283
-247.439371,1000,23.811659
-249.430506,1000,24.111032
-285.311872,1000,24.405198
-260.472894,1000,24.700874
-267.922763,1000,24.996255
-263.850924,1000,25.290323
-285.436365,1000,25.585606
-260.559348,1000,25.881022
-192.168876,1000,26.176265
-313.036194,1000,26.471467
-270.389249,1000,26.767588
-268.927522,1000,27.068772
-293.518872,1000,27.365017
-319.980495,1000,27.661352
-308.990155,1000,27.959472
-282.870071,1000,28.258228
-285.640192,1000,28.553936
-288.086615,1000,28.856669
-274.51548,1000,29.156142
-314.445958,1000,29.451957
-296.806323,1000,29.746646
-309.032381,1000,30.043571
-260.211665,1000,30.342932
-239.906206,1000,30.641712
-248.825608,1000,30.944275
-315.998347,1000,36.680824
-310.916697,1000,40.939873
-313.596293,1000,46.176815
-307.204134,1000,51.145275
-309.647376,1000,55.484471
-330.480695,1000,59.651872
-297.790852,1000,64.051839
-305.736752,1000,68.316797
-318.602669,1000,72.59212
-280.300046,1000,76.847109
-293.010893,1000,81.632673
-215.191865,1000,86.916713
-287.119388,1000,92.457268
-277.327892,1000,98.134794
-164.983759,1000,102.918373
-145.055795,1000,107.833635
-100.729546,1000,112.501399
-89.579504,1000,116.682931
-167.799953,1000,120.917038
-255.985668,1000,125.09313
-202.620471,1000,129.405133
-85.806029,1000,133.616065
-48.773433,1000,138.03271
-248.854433,1000,142.278333
-253.756219,1000,146.471685
-76.056988,1000,150.629996
-27.124289,1000,154.811768
-40.540244,1000,158.987788
44.537828,1000,163.160499
34.315128,1000,167.330263
92.929506,1000,171.498829
100.866359,1000,175.682189
143.977944,1000,180.684194
148.140292,1000,184.861791
